State,Product,District,LGD Code,Category,Sector,GI Status,Department
Andaman and Nicobar Islands,Coconut & Coconut based products,Nicobars,603,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Andaman and Nicobar Islands,Fisheries/Marine products,North and Middle Andaman,632,Primary,Marine,No,Department of Fisheries
Andaman and Nicobar Islands,Marine Products,South Andamans,602,Primary,Marine,No,Department of Fisheries
Andhra Pradesh,Coffee (Araku),Alluri Sitarama Raju,745,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Bamboo Craft,Alluri Sitarama Raju,745,Secondary,Handicraft,No,DC Handicraft
Andhra Pradesh,Rock Bee Honey,Alluri Sitarama Raju,745,Tertiary,Food Processing,No,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Etikoppaka Lacquerware/Wooden Toys,Anakapalli,744,Primary,Handicraft,Yes,DC Handicraft
Andhra Pradesh,Palm Leaf,Anakapalli,744,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Payakaraopet Silk Sarees,Anakapalli,744,Tertiary,Handloom,No,DC Handloom
Andhra Pradesh,Cotton/Jean Pants,Anantapuram (Anantapur),502,Primary,Textile,No,Ministry of Textile
Andhra Pradesh,Dharmavaram Silk Sarees,Ananthpuram (Anantapur),502,Secondary,Handloom,Yes,DC Handloom
Andhra Pradesh,Cotton / Jean Pants,Annamayya (Rayachoty),753,Primary,Textile,No,Ministry of Textile
Andhra Pradesh,Red Sander & Wood Carvings,Annamayya (Rayachoty),753,Secondary,Handicraft,No,DC Handicraft
Andhra Pradesh,Raja Rani Dolls,Annamayya (Rayachoty),753,Tertiary,Handicraft,No,DC Handicraft
Andhra Pradesh,Applique Work,Annamayya (Rayachoty),753,Others,Handloom,No,DC Handloom
Andhra Pradesh,Mandanapalle Silk Sarees,Annamayya (Rayachoty),753,Others,Handloom,No,DC Handloom
Andhra Pradesh,Granite Cutting and Polishing,Bapatla,750,Primary,Manufacturing,No,MSME
Andhra Pradesh,Cotton Bags,Bapatla,750,Secondary,Manufacturing,No,MSME
Andhra Pradesh,Chirala Silk Sarees,Bapatla,750,Tertiary,Handloom,No,DC Handloom
Andhra Pradesh,Venkatagiri Sarees,Chittoor,503,Primary,Handloom,Yes,DC Handloom
Andhra Pradesh,Mango Pulp,Chittoor,503,Secondary,Food processing,No,Ministry of Food Processing
Andhra Pradesh,The Glass Beads,Chittoor,503,Tertiary,Handicraft,No,DC Handicraft
Andhra Pradesh,Kollangantu Tie &Dye Check Lungies,Chittoor,503,Others,Textile,No,Ministry of Textile
Andhra Pradesh,Teracotta,Chittoor,503,Others,Handicraft,No,DC Handicraft
Andhra Pradesh,Natural banana fibres,Dr BR Ambedkar Konaseema,747,Others,Manufacturing,No,MSME
Andhra Pradesh,Bandaru Lanka Sarees,Dr BR Ambedkar Konaseema,747,Others,Handloom,No,DC Handloom
Andhra Pradesh,Angara Sarees,Dr BR Ambedkar Konaseema,747,Others,Handloom,No,DC Handloom
Andhra Pradesh,Coconut & Coir,Dr BR Ambedkar Konaseema,747,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Shrimp,Dr. B. R. Ambedkar Konaseema,747,Secondary,Marine,No,Department of Fisheries
Andhra Pradesh,Oil & Natural Gas,Dr. B. R. Ambedkar Konaseema,747,Tertiary,Others,No,Ministry of Petroleum & Natural Gas
Andhra Pradesh,Pasalapudi Sarees,Dr BR Ambedkar Konaseema,747,Others,Handloom,No,DC Handloom
Andhra Pradesh,"Fruit Based Food Products (Pickles, Mango Jelly, Fruit Pulp, Cashew nuts, Lemon extracts)",East Godavari,505,Primary,Food processing,No,Ministry of Food Processing
Andhra Pradesh,Ratnam Pens,East Godavari,505,Secondary,Manufacturing,No,MSME
Andhra Pradesh,White Wood Birds,East Godavari,505,Tertiary,Handicraft,No,DC Handicraft
Andhra Pradesh,Pulagurta Clothing Shirting & Sarees,East Godavari,505,Others,Textile,No,Ministry of Textile
Andhra Pradesh,Muramunda Cotton Shirting & Sarees,East Godavari,505,Others,Textile,No,Ministry of Textile
Andhra Pradesh,Veeravaram Silk Sarees,East Godavari,505,Others,Handloom,No,DC Handloom
Andhra Pradesh,Dulla Sarees,East Godavari,505,Others,Handloom,No,DC Handloom
Andhra Pradesh,Gold Jewellery,Eluru,748,Primary,Handicraft,No,DC Handicraft
Andhra Pradesh,Hand Knotted Carpet weaving,Eluru,748,Secondary,Handicraft,No,DC Handicraft
Andhra Pradesh,Walking Sticks,Eluru,748,Tertiary,Handicraft,No,DC Handicraft
Andhra Pradesh,Nuziveedu Veena,Eluru,748,Others,Handicraft,No,DC Handicraft
Andhra Pradesh,Eluru Cotton Sarees,Eluru,748,Others,Handloom,No,DC Handloom
Andhra Pradesh,Chillies,Guntur,506,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Bronze Casting,Guntur,506,Secondary,Manufacturing,No,MSME
Andhra Pradesh,Mangalagiri Sarees and Fabric,Guntur,506,Tertiary,Handloom,Yes,DC Handloom
Andhra Pradesh,Uppada Jamdani Sarees,Kakinada,746,Primary,Handloom,Yes,DC Handloom
Andhra Pradesh,"Peddapuram Silk Dhotis, Upper and shirtings",Kakinada,746,Secondary,Textile,No,Ministry of Textile
Andhra Pradesh,Kalamkari Block Printing,Kakinada,746,Tertiary,Handloom,No,DC Handloom
Andhra Pradesh,Cashew Kernel,Kakinada,746,Others,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Machilipatnam Kalamkari,Krishna,510,Primary,Handloom,Yes,DC Handloom
Andhra Pradesh,Kalamkari Block Printing,Krishna,510,Secondary,Handloom,Yes,DC Handloom
Andhra Pradesh,Pedana kalamkari Fabrics,Krishna,510,Tertiary,Textile,Yes,Ministry of Textile
Andhra Pradesh,Bandar / Polavaram Sarees,Krishna,510,Others,Handloom,No,DC Handloom
Andhra Pradesh,Gold Jewellery,Krishna,510,Others,Handicraft,No,DC Handicraft
Andhra Pradesh,Stone carved products,Kurnool,511,Primary,Handicraft,No,DC Handicraft
Andhra Pradesh,Kodumuru Gadwal Sarees,Kurnool,511,Secondary,Handloom,No,DC Handloom
Andhra Pradesh,Yemmiganuru Bedsheets,Kurnool,511,Tertiary,Textile,No,Ministry of Textile
Andhra Pradesh,Allagadda Stone Carving,Nandyal,755,Tertiary,Handicraft,Yes,DC Handicraft
Andhra Pradesh,Banaganapalli Mangoes,Nandyal,755,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Nandivargam plain towels & plain lungis,Nandyal,755,Secondary,Textile,No,Ministry of Textile
Andhra Pradesh,Kondapalli Toys,NTR (Vijaywada),749,Primary,Handicraft,Yes,DC Handicraft
Andhra Pradesh,Bandar type Resham (Art Silk) Sarees,NTR (Vijaywada),749,Secondary,Handloom,No,DC Handloom
Andhra Pradesh,Durgi Stone Carving,Palnadu (Narasaraopeta),751,Primary,Handicraft,Yes,DC Handicraft
Andhra Pradesh,Sattenapalli Bedsheets,Palnadu (Narasaraopeta),751,Secondary,Textile,No,Ministry of Textile
Andhra Pradesh,Leather Puppets,Palnadu (Narasaraopeta),751,Tertiary,Handicraft,Yes,DC Handicraft
Andhra Pradesh,Spice Products,Palnadu (Narasaraopeta),751,Others,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Bobilli Veena,Parvathipuram Manyam,743,Primary,Handicraft,Yes,DC Handicraft
Andhra Pradesh,Bobilli Sarees,Parvathipuram Manyam,743,Secondary,Handloom,No,DC Handloom
Andhra Pradesh,Severa Adivasi Paintings,Parvathipuram Manyam,743,Tertiary,Handicraft,No,DC Handicraft
Andhra Pradesh,Rice,Parvathipuram Manyam,743,Others,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Granite (Black Galaxy),Prakasam,517,Primary,Manufacturing,No,MSME
Andhra Pradesh,Ethamukkala Check Lungis,Prakasam,517,Secondary,Textile,No,Ministry of Textile
Andhra Pradesh,Udayagiri Wooden Cutlery,SPSR Nellore,515,Primary,Handicraft,Yes,DC Handicraft
Andhra Pradesh,Patturu Cotton Silk Sarees,SPSR Nellore,515,Secondary,Handloom,Yes,DC Handloom
Andhra Pradesh,Silk Sarees,Sri Sathya Sai (Puttaparthi),754,Primary,Handloom,No,DC Handloom
Andhra Pradesh,Leather Puppets,Sri Sathya Sai (Puttaparthi),754,Secondary,Handicraft,Yes,DC Handicraft
Andhra Pradesh,Dharmavaram Silk Sarees,Sri Sathya Sai (Puttaparthi),754,Tertiary,Handloom,Yes,DC Handloom
Andhra Pradesh,Ponduru Cotton Sarees,Srikakulam,519,Primary,Textile,No,Ministry of Textile
Andhra Pradesh,Budithi Brassware,Srikakulam,519,Secondary,Handicraft,Yes,DC Handicraft
